항목,4인승 프레스티지 2WD (A/T)
전장,"5,255 mm"
전폭,"1,995 mm"
전고,"2,095 mm"
축거,"3,275 mm"
윤거 (전),"1,721 mm"
윤거 (후),"1,732 mm"
승차정원,4
연료탱크,65 ℓ
