항목,2WD (5인승) (A/T),AWD (5인승) (A/T),2WD (4인승) + 뒷좌석 컴포트 패키지Ⅰ (A/T),AWD (4인승) + 뒷좌석 컴포트 패키지Ⅰ (A/T),BLACK AWD (5인승) (A/T),BLACK AWD (4인승) (A/T)
전장,"5,275 mm","5,275 mm","5,275 mm","5,275 mm","5,275 mm","5,275 mm"
전폭,"1,930 mm","1,930 mm","1,930 mm","1,930 mm","1,930 mm","1,930 mm"
전고,"1,490 mm","1,490 mm","1,490 mm","1,490 mm","1,490 mm","1,490 mm"
축거,"3,180 mm","3,180 mm","3,180 mm","3,180 mm","3,180 mm","3,180 mm"
윤거 (전),"1,650 mm","1,650 mm","1,650 mm","1,650 mm","1,655 mm","1,655 mm"
윤거 (후),"1,682 mm","1,682 mm","1,682 mm","1,682 mm","1,660 mm","1,660 mm"
승차정원,5,5,4,4,5,4
공차중량,"2,025 kg","2,090 kg","2,090 kg","2,155 kg","2,130 kg","2,130 kg"
연료탱크,73 ℓ,73 ℓ,73 ℓ,73 ℓ,73 ℓ,73 ℓ
