항목,익스클루시브 (A/T),익스클루시브 스페셜 (A/T),프레스티지 (A/T)
전장,"4,750 mm","4,750 mm","4,750 mm"
전폭,"1,865 mm","1,865 mm","1,865 mm"
전고,"1,640 mm","1,675 mm","1,675 mm"
축거,"2,790 mm","2,790 mm","2,790 mm"
윤거 (전),"1,614 mm","1,614 mm","1,614 mm"
윤거 (후),"1,625 mm","1,625 mm","1,625 mm"
승차정원,5,5,5
공차중량,"1,870 kg","1,890 kg","1,890 kg"
연료탱크,162.6 ℓ,162.6 ℓ,162.6 ℓ
