항목,스마트 (A/T),프리미엄 (A/T),플럭스 (A/T)
전장,"4,040 mm","4,040 mm","4,040 mm"
전폭,"1,770 mm","1,770 mm","1,770 mm"
전고,"1,565 mm","1,565 mm","1,585 mm"
축거,"2,520 mm","2,520 mm","2,520 mm"
윤거 (전),"1,555 mm","1,555 mm","1,535 mm"
윤거 (후),"1,565 mm","1,565 mm","1,545 mm"
승차정원,5,5,5
공차중량,"1,180 kg","1,180 kg","1,215 kg"
연료탱크,45 ℓ,45 ℓ,45 ℓ
