항목,익스클루시브 2WD (A/T),익스클루시브 4WD (A/T),N 라인 (익스클루시브) 2WD (A/T),N 라인 (익스클루시브) 4WD (A/T),프레스티지 2WD (A/T),프레스티지 4WD (A/T),N 라인 (프레스티지) 2WD (A/T),N 라인 (프레스티지) 4WD (A/T),이-라이트 2WD (A/T),이-라이트 4WD (A/T)
전장,"4,655 mm","4,655 mm","4,655 mm","4,655 mm","4,655 mm","4,655 mm","4,655 mm","4,655 mm","4,655 mm","4,655 mm"
전폭,"1,890 mm","1,890 mm","1,890 mm","1,890 mm","1,890 mm","1,890 mm","1,890 mm","1,890 mm","1,890 mm","1,890 mm"
전고,"1,605 mm","1,605 mm","1,605 mm","1,605 mm","1,605 mm","1,605 mm","1,605 mm","1,605 mm","1,605 mm","1,605 mm"
축거,"3,000 mm","3,000 mm","3,000 mm","3,000 mm","3,000 mm","3,000 mm","3,000 mm","3,000 mm","3,000 mm","3,000 mm"
윤거 (전),"1,638 mm","1,638 mm","1,628 mm","1,628 mm","1,638 mm","1,638 mm","1,628 mm","1,628 mm","1,638 mm","1,638 mm"
윤거 (후),"1,647 mm","1,647 mm","1,637 mm","1,637 mm","1,647 mm","1,647 mm","1,637 mm","1,637 mm","1,647 mm","1,647 mm"
승차정원,5,5,5,5,5,5,5,5,5,5
공차중량,"2,015 kg","2,120 kg","2,055 kg","2,160 kg","2,015 kg","2,120 kg","2,055 kg","2,160 kg","2,015 kg","2,120 kg"
